date,store_id,product_id,sales,is_anomaly,impressions,discount(%),day_of_week
2024-12-28,10,16,2452.36,0,10906,5,5
2024-05-07,1,9,1677.82,0,15209,0,1
2024-05-20,6,13,0.0,1,10299,0,0
2024-10-15,9,11,1387.33,0,10622,15,1
2024-01-06,8,4,1871.99,0,7703,15,5
2024-10-25,7,5,1621.84,0,10560,20,4
2024-03-27,3,6,723.65,0,12392,0,2
2024-03-05,1,19,958.58,0,7465,5,1
2024-12-21,3,15,129.0,1,9441,15,5
2024-02-14,9,2,1143.77,0,6914,0,2
2024-06-04,10,13,721.35,0,8447,15,1
2024-12-04,10,20,1118.42,0,12649,20,2
2024-10-19,8,18,1382.61,0,12655,10,5
2024-01-10,10,4,1048.43,0,7832,15,2
2024-12-28,2,12,1051.59,0,14713,5,5
2024-09-16,6,18,1129.98,0,7140,0,0
2024-11-15,3,5,1485.85,0,7709,10,4
2024-11-14,6,4,1441.85,0,13505,15,3
2024-04-23,7,9,965.08,0,5520,5,1
2024-09-10,4,8,1194.15,0,6577,15,1
2024-05-05,6,10,1681.62,0,10677,0,6
2024-07-24,4,5,1986.49,0,7390,20,2
2024-07-31,2,20,1502.07,0,12574,20,2
2024-03-12,10,12,1845.02,0,12286,5,1
2024-09-20,9,17,639.63,0,11203,0,4
2024-08-02,3,6,799.68,0,8480,15,4
2024-10-31,9,8,575.19,0,6347,10,3
2024-10-01,5,13,1080.4,0,8850,15,1
2024-04-24,3,7,0.0,1,6200,15,2
2024-05-07,5,16,1307.37,0,9925,20,1
2024-05-01,7,18,374.57,0,11579,0,2
2024-07-23,2,5,1328.34,0,13870,20,1
2024-11-07,7,9,1129.24,0,5831,15,3
2024-10-08,2,6,1726.84,0,5944,10,1
2024-08-07,6,6,1689.95,0,13196,20,2
2024-08-18,2,15,909.74,0,10519,20,6
2024-04-05,7,4,1681.98,0,8948,0,4
2024-06-24,5,3,890.96,0,12078,10,0
2024-12-03,4,20,2214.78,0,9509,0,1
2024-08-31,7,11,1598.24,0,11666,5,5
2024-03-15,10,7,847.41,0,11958,0,4
2024-11-27,8,18,1411.62,0,9537,15,2
2024-04-22,4,3,1192.87,0,6239,15,0
2024-04-20,7,12,796.32,0,12224,10,5
2024-11-13,1,17,706.1,0,10323,5,2
2024-12-21,5,3,1529.54,0,11259,5,5
2024-04-11,3,18,891.81,0,11934,5,3
2024-08-14,3,17,815.32,0,11881,5,2
2024-12-02,7,3,2038.85,0,5504,5,0
2024-03-04,4,13,1086.04,0,6853,5,0
2024-08-27,7,7,955.71,0,7153,0,1
2024-04-11,4,8,1193.49,0,5593,20,3
2024-04-03,9,4,828.67,0,12939,10,2
2024-04-21,3,5,1517.5,0,3884,5,6
2024-12-03,8,18,1451.82,0,14184,0,1
2024-05-06,7,20,1490.48,0,9730,5,0
2024-04-05,6,14,1396.39,0,11833,0,4
2024-11-29,5,7,1511.76,0,15967,20,4
2024-08-05,4,15,537.22,0,9481,0,0
2024-11-03,3,19,2922.45,0,10220,0,6
2024-05-05,2,6,2361.11,0,9706,5,6
2024-06-28,7,18,571.9,0,7586,20,4
2024-07-07,3,19,2289.3,0,12220,0,6
2024-06-19,1,11,782.88,0,15080,0,2
2024-01-07,2,8,1323.38,0,5386,10,6
2024-03-16,1,8,2073.48,0,10936,10,5
2024-03-17,8,2,0.0,1,7369,10,6
2024-03-13,6,19,522.23,0,4968,20,2
2024-06-12,3,16,1709.3,0,8547,15,2
2024-04-18,1,13,572.45,0,5122,0,3
2024-10-27,3,17,768.9,0,4592,20,6
2024-12-22,4,1,1285.36,0,8777,20,6
2024-10-08,10,9,917.53,0,6535,20,1
2024-12-27,2,1,2231.23,0,10024,10,4
2024-05-13,7,14,7214.59,1,9323,0,0
2024-08-03,4,17,588.85,0,14634,10,5
2024-07-27,1,1,1284.99,0,12849,20,5
2024-01-15,3,10,108.82,1,17865,20,0
2024-12-15,9,14,1101.36,0,14288,20,6
2024-04-21,9,17,818.5,0,9810,0,6
2024-09-20,3,11,1409.19,0,10654,10,4
2024-09-29,5,17,2343.3,0,9251,20,6
2024-02-22,9,13,862.32,0,12918,0,3
2024-07-04,5,5,475.93,0,9760,5,3
2024-01-06,4,11,511.17,0,9093,20,5
2024-03-31,1,17,774.61,0,13299,0,6
2024-03-10,10,14,1083.08,0,6299,0,6
2024-10-29,7,8,965.49,0,11478,0,1
2024-10-28,7,2,1383.6,0,9359,20,0
2024-06-21,4,16,1338.05,0,10448,0,4
2024-02-14,10,11,1576.03,0,13546,5,2
2024-01-05,2,5,1312.42,0,5067,5,4
2024-06-24,9,11,1287.81,0,10521,0,0
2024-01-12,8,2,429.09,0,13567,20,4
2024-11-09,7,11,2107.94,0,19839,15,5
2024-08-21,8,16,1839.32,0,10291,5,2
2024-08-25,2,15,909.02,0,9800,5,6
2024-12-10,10,12,2465.54,0,11397,0,1
2024-06-01,10,11,1814.04,0,5409,20,5
2024-06-20,2,6,1822.25,0,7058,20,3
2024-03-04,6,2,1183.13,0,14016,0,0
2024-05-18,10,2,908.43,0,10518,15,5
2024-11-13,2,12,905.57,0,7446,0,2
2024-12-11,9,9,1603.26,0,10514,10,2
2024-03-08,10,16,1684.14,0,16951,10,4
2024-01-01,2,6,1930.36,0,17189,10,0
2024-04-22,1,19,1103.49,0,9256,10,0
2024-11-02,1,6,0.0,1,16672,20,5
2024-01-30,10,5,693.06,0,7646,15,1
2024-01-13,3,12,1820.97,0,11294,5,5
2024-03-03,1,6,1797.53,0,10111,5,6
2024-06-20,2,14,1689.45,0,15918,15,3
2024-01-19,2,14,1816.72,0,13415,5,4
2024-03-22,8,2,435.29,0,7707,15,4
2024-12-29,6,6,2586.73,0,6978,10,6
2024-08-17,1,14,2071.76,0,6425,10,5
2024-04-12,2,6,1870.48,0,6448,0,4
2024-01-30,1,6,1554.39,0,10456,20,1
2024-04-26,2,11,793.83,0,10528,20,4
2024-10-25,9,15,1437.03,0,13172,0,4
2024-04-06,4,11,488.63,0,9667,20,5
2024-05-09,4,11,502.87,0,9610,10,3
2024-06-11,7,4,1780.27,0,8516,5,1
2024-12-27,7,17,703.95,0,5492,10,4
2024-03-02,8,9,1878.44,0,14103,20,5
2024-10-02,7,8,1004.66,0,6773,15,2
2024-10-08,2,9,1857.41,0,4076,15,1
2024-09-25,4,10,536.39,0,9951,15,2
2024-11-05,10,5,1024.7,0,12684,20,1
2024-03-17,2,10,2269.6,0,8823,0,6
2024-06-07,10,7,959.88,0,11301,20,4
2024-07-26,8,4,1392.64,0,9901,0,4
2024-01-01,9,6,1052.67,0,12251,5,0
2024-04-17,4,13,1141.27,0,10345,20,2
2024-03-08,8,9,1504.36,0,12245,0,4
2024-08-13,9,6,1140.86,0,11002,5,1
2024-07-21,5,11,789.43,0,11113,5,6
2024-12-20,9,4,1095.69,0,13587,15,4
2024-12-10,6,15,1896.85,0,12959,10,1
2024-05-28,6,15,1538.86,0,11411,0,1
2024-10-15,3,2,1377.99,0,9184,20,1
2024-12-05,5,17,2471.46,0,8964,15,3
2024-10-04,1,9,1769.32,0,8383,5,4
2024-11-23,9,10,1696.75,0,13531,10,5
2024-11-02,7,15,2315.01,0,7284,15,5
2024-04-23,7,12,0.0,1,13960,5,1
2024-03-22,7,6,956.29,0,6577,15,4
2024-05-22,5,15,591.02,0,11598,10,2
2024-04-06,8,8,1303.8,0,13094,5,5
2024-01-01,10,3,1834.15,0,13450,10,0
2024-02-28,10,3,2059.3,0,5530,10,2
2024-08-31,9,9,1455.13,0,6794,0,5
2024-07-09,8,19,1451.8,0,10410,15,1
2024-04-09,8,2,0.0,1,4609,10,1
2024-08-31,1,3,2613.41,0,10463,15,5
2024-10-21,1,4,164.89,1,11577,15,0
2024-07-16,8,4,1499.84,0,11057,20,1
2024-05-16,3,7,6200.01,1,9751,5,3
2024-04-08,10,2,662.19,0,9637,5,0
2024-05-15,6,12,770.63,0,12264,5,2
2024-09-18,2,3,1819.8,0,5691,0,2
2024-05-17,1,18,1397.09,0,9930,20,4
2024-08-01,7,3,1607.24,0,14281,0,3
